DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1991-0218-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Bob,USA,United States of America,Northern America,Americas,"North Carolina, Delaware, New York, Richmond, Maine, Rhode Island, Connecticut, Massachusetts, Indiana, Michigan, Ohio, Kentucky",,,No,No,No,,160,Kph,,,,1991,8,18,1991,8,20,18,,1200,,1200,,,620000,1332284,1500000,3223268,46.53662061,,2007-08-08,2023-09-25
1991-0406-USA,Yes,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Kph,,,,1991,12,15,1991,12,15,17,,200,,200,,,,,30000,64465,46.53662061,,2003-07-01,2023-09-25
1991-0422-USA,Yes,nat-met-sto-san,Natural,Meteorological,Storm,Sand/Dust storm,,,USA,United States of America,Northern America,Americas,California,,,No,No,No,,,Kph,,,,1991,11,30,1991,11,30,15,100,,,100,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0423-USA,Yes,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Bob,USA,United States of America,Northern America,Americas,"New England, New York, New Jersey",,,No,No,No,,160,Kph,,,,1991,10,30,1991,10,30,2,,1500,,1500,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0425-USA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Washington, Idaho, Montana, Wyoming, Colorado",,,No,No,No,,,Km2,,,,1991,10,17,1991,10,17,2,,,300,300,,,,,,,46.53662061,,2003-07-01,2023-09-25
1991-0426-USA,Yes,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Oakland,,,No,No,No,,,Km2,,,,1991,10,21,1991,10,22,26,,,,,,,1200000,2578614,2500000,5372113,46.53662061,,2006-01-13,2023-09-25
1991-0484-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Texas, Louisiane",,Flood|Hail,No,No,No,,,Kph,,,,1991,2,18,1991,2,19,,,,,,,,50000,107442,,,46.53662061,,2006-01-07,2023-09-25
1991-0485-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Californie, Arizona",,Flood|Hail,No,No,No,,,Kph,,,,1991,2,27,1991,2,28,,,,,,,,65000,139675,,,46.53662061,,2006-01-07,2023-09-25
1991-0486-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Louisiane, Mississippi, Alabama, Georgie, North Carolina, South Carolina, Floride, New York",,Flood|Hail,No,No,No,,,Kph,,,,1991,3,1,1991,3,4,,,,,,,,120000,257861,,,46.53662061,,2006-01-07,2023-09-25
1991-0487-USA,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,USA,United States of America,Northern America,Americas,"Californie, Nevada",,,No,No,No,,,Km2,,,,1991,3,2,1991,3,2,,,,,,,,40000,85954,,,46.53662061,,2003-07-01,2023-09-25
1991-0488-USA,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Kansas, Illinois, Indiana",,,No,No,No,,,Kph,,,,1991,3,11,1991,3,11,,,,,,,,,,30000,64465,46.53662061,,2003-07-01,2023-09-25
1991-0490-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Arkansas, Oklahoma, Texas, Indiana, Iowa, Mississippi, Tennessee, Illinois, Kentucky, Missouri",,,No,No,No,,,Km2,,,,1991,3,21,1991,3,21,,,,,,,,85000,182652,,,46.53662061,,2006-01-07,2023-09-25
1991-0491-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Kansas, Missouri, Ohio, Illinois, Wisconsin, New York, Indiana, Tennessee, Michigan, Alabama, Pennsylvanie, Kentucky",,,No,No,No,,,Km2,,,,1991,3,26,1991,3,26,,,,,,,,210000,451258,,,46.53662061,,2003-07-01,2023-09-25
1991-0492-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Alabama, Georgie, North + South Carolina",,,No,No,No,,,Km2,,,,1991,3,28,1991,3,28,,,,,,,,70000,150419,,,46.53662061,,2003-07-01,2023-09-25
1991-0493-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Tennessee, Pennsylvanie, West Virginia, Kentucky",,,No,No,No,,,Km2,,,,1991,4,8,1991,4,8,,,,,,,,60000,128931,,,46.53662061,,2003-07-01,2023-09-25
1991-0494-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Nebraska, Kansas, Texas, Oklahoma, Louisiane, Arkansas, Mississippi",,,No,No,No,,,Km2,,,,1991,4,11,1991,4,11,,,,,,,,80000,171908,,,46.53662061,,2003-07-01,2023-09-25
1991-0496-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Texas, Arizona, Floride, Louisiane, Mississippi, Alabama, Georgie",,,No,No,No,,,Km2,,,,1991,4,18,1991,4,18,,,,,,,,100000,214885,,,46.53662061,,2003-07-01,2023-09-25
1991-0499-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Texas, Floride, Louisiane",,,No,No,No,,,Km2,,,,1991,4,24,1991,4,24,,,,,,,,33000,70912,,,46.53662061,,2003-07-01,2023-09-25
1991-0500-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Texas, Kansas, Iowa, Louisiane, Nebraska, Missouri, Mississippi, Oklahoma, Alabama, Georgie, Arkansas",,Flood,No,No,No,,,Kph,,,,1991,4,26,1991,4,29,33,,,,,,,350000,752096,1000000,2148845,46.53662061,,2006-09-17,2023-09-25
1991-0501-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Texas, Alabama, Georgie, Louisiane, Mississ Ippi, Arkansas, Missouri, Kansas, Illinois, Nebraska, Oklahoma",,,No,No,No,,,Km2,,,,1991,5,2,1991,5,2,,,,,,,,60000,128931,,,46.53662061,,2003-07-01,2023-09-25
1991-0502-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"North + South Dakota, Nebraska",,,No,No,No,,,Km2,,,,1991,5,10,1991,5,10,,,,,,,,50000,107442,,,46.53662061,,2003-07-01,2023-09-25
1991-0503-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Wyoming, Colorado, Oklahoma, Kansas, Missouri, Nebraska",,,No,No,No,,,Km2,,,,1991,5,15,1991,5,15,,,,,,,,85000,182652,,,46.53662061,,2003-07-01,2023-09-25
1991-0504-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,,Km2,,,,1991,5,21,1991,5,21,,,,,,,,85000,182652,,,46.53662061,,2003-07-01,2023-09-25
1991-0505-USA,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Colorado, Texas, Kansas, Oklahoma, Missouri",,,No,No,No,,,Km2,,,,1991,5,23,1991,5,23,,,,,,,,80000,171908,,,46.53662061,,2003-07-01,2023-09-25
1991-0508-USA,Yes,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Nevada, Colorado, Kansas, Nebraska, Oklahoma, Texas",,,No,No,No,,,Kph,,,,1991,5,30,1991,5,30,,,,,,,,130000,279350,,,46.53662061,,2003-07-01,2023-09-25
