Symbol,PN,Type,Date,Volatility,
NG,N/A,QMLE-Trade,2001-01-02,0.749895,0.047238945
NG,N/A,QMLE-Trade,2001-01-03,0.368241,0.023197003
NG,N/A,QMLE-Trade,2001-01-04,1.33933,0.08436986
NG,N/A,QMLE-Trade,2001-01-05,0.439658,0.027695851
NG,N/A,QMLE-Trade,2001-01-08,0.411211,0.025903858
NG,N/A,QMLE-Trade,2001-01-09,0.620894,0.039112646
NG,N/A,QMLE-Trade,2001-01-10,1.64603,0.103690144
NG,N/A,QMLE-Trade,2001-01-11,0.609589,0.038400498
NG,N/A,QMLE-Trade,2001-01-12,0.592153,0.037302133
NG,N/A,QMLE-Trade,2001-01-16,0.53392,0.033633799
NG,N/A,QMLE-Trade,2001-01-17,1.6972,0.106913551
NG,N/A,QMLE-Trade,2001-01-18,0.502061,0.03162687
NG,N/A,QMLE-Trade,2001-01-19,0.370963,0.023368472
NG,N/A,QMLE-Trade,2001-01-22,0.878834,0.055361338
NG,N/A,QMLE-Trade,2001-01-23,0.521947,0.03287957
NG,N/A,QMLE-Trade,2001-01-24,0.833052,0.052477343
NG,N/A,QMLE-Trade,2001-01-25,0.454536,0.028633077
NG,N/A,QMLE-Trade,2001-01-26,0.612717,0.038597543
NG,N/A,QMLE-Trade,2001-01-29,0.653413,0.04116115
NG,N/A,QMLE-Trade,2001-01-30,0.448775,0.028270168
NG,N/A,QMLE-Trade,2001-01-31,0.516167,0.032515465
NG,N/A,QMLE-Trade,2001-02-01,1.7682,0.11138613
NG,N/A,QMLE-Trade,2001-02-02,0.819958,0.051652499
NG,N/A,QMLE-Trade,2001-02-05,1.46562,0.092325382
NG,N/A,QMLE-Trade,2001-02-06,0.503203,0.031698809
NG,N/A,QMLE-Trade,2001-02-07,1.56982,0.098889365
NG,N/A,QMLE-Trade,2001-02-08,1.1368,0.071611669
NG,N/A,QMLE-Trade,2001-02-09,0.454876,0.028654495
NG,N/A,QMLE-Trade,2001-02-12,0.687939,0.043336084
NG,N/A,QMLE-Trade,2001-02-13,0.925377,0.058293272
NG,N/A,QMLE-Trade,2001-02-14,1.32665,0.083571095
