Date,Price
3/4/1990,1.635
4/4/1990,1.62
5/4/1990,1.615
6/4/1990,1.625
9/4/1990,1.637
10/4/1990,1.62
11/4/1990,1.605
12/4/1990,1.598
16/4/1990,1.598
17/4/1990,1.585
18/4/1990,1.583
19/4/1990,1.57
20/4/1990,1.543
23/4/1990,1.555
24/4/1990,1.555
25/4/1990,1.552
26/4/1990,1.558
27/4/1990,1.555
30/4/1990,1.565
1/5/1990,1.565
2/5/1990,1.575
3/5/1990,1.575
4/5/1990,1.575
7/5/1990,1.58
8/5/1990,1.583
9/5/1990,1.576
10/5/1990,1.574
11/5/1990,1.565
14/5/1990,1.556
15/5/1990,1.553
16/5/1990,1.57
17/5/1990,1.57
18/5/1990,1.554
21/5/1990,1.557
22/5/1990,1.613
23/5/1990,1.602
24/5/1990,1.6
25/5/1990,1.592
29/5/1990,1.585
30/5/1990,1.585
31/5/1990,1.59
1/6/1990,1.585
4/6/1990,1.582
5/6/1990,1.567
6/6/1990,1.56
7/6/1990,1.573
8/6/1990,1.575
11/6/1990,1.572
12/6/1990,1.558
13/6/1990,1.545
14/6/1990,1.547
15/6/1990,1.547
18/6/1990,1.54
19/6/1990,1.536
20/6/1990,1.51
21/6/1990,1.528
22/6/1990,1.522
25/6/1990,1.516
26/6/1990,1.507
27/6/1990,1.5
28/6/1990,1.515
29/6/1990,1.519
2/7/1990,1.519
3/7/1990,1.525
5/7/1990,1.514
6/7/1990,1.498
9/7/1990,1.493
10/7/1990,1.5
11/7/1990,1.5
12/7/1990,1.502
13/7/1990,1.5
16/7/1990,1.495
17/7/1990,1.462
18/7/1990,1.45
19/7/1990,1.445
20/7/1990,1.426
23/7/1990,1.46
24/7/1990,1.44
25/7/1990,1.44
26/7/1990,1.435
27/7/1990,1.439
30/7/1990,1.43
31/7/1990,1.411
1/8/1990,1.402
2/8/1990,1.432
3/8/1990,1.51
6/8/1990,1.588
7/8/1990,1.477
8/8/1990,1.475
9/8/1990,1.47
10/8/1990,1.49
13/8/1990,1.465
14/8/1990,1.448
15/8/1990,1.428
16/8/1990,1.43
17/8/1990,1.44
20/8/1990,1.417
21/8/1990,1.42
22/8/1990,1.428
23/8/1990,1.545
24/8/1990,1.525
27/8/1990,1.502
28/8/1990,1.5
29/8/1990,1.505
30/8/1990,1.537
31/8/1990,1.5
4/9/1990,1.51
5/9/1990,1.514
6/9/1990,1.53
7/9/1990,1.51
10/9/1990,1.525
11/9/1990,1.525
12/9/1990,1.543
13/9/1990,1.54
14/9/1990,1.52
17/9/1990,1.537
18/9/1990,1.56
19/9/1990,1.555
20/9/1990,1.846
21/9/1990,1.872
24/9/1990,1.936
25/9/1990,1.93
26/9/1990,1.945
27/9/1990,1.94
28/9/1990,1.935
1/10/1990,1.909
2/10/1990,1.88
3/10/1990,1.915
4/10/1990,1.898
5/10/1990,1.935
9/10/1990,1.94
10/10/1990,1.94
11/10/1990,1.96
12/10/1990,1.95
15/10/1990,1.9
16/10/1990,1.91
17/10/1990,1.9
18/10/1990,1.89
19/10/1990,1.9
22/10/1990,1.97
23/10/1990,2.52
24/10/1990,2.44
25/10/1990,2.446
26/10/1990,2.448
29/10/1990,2.434
30/10/1990,2.408
31/10/1990,2.36
1/11/1990,2.35
2/11/1990,2.358
5/11/1990,2.385
6/11/1990,2.383
7/11/1990,2.45
8/11/1990,2.435
9/11/1990,2.429
13/11/1990,2.411
14/11/1990,2.428
15/11/1990,2.4
16/11/1990,2.335
19/11/1990,2.35
20/11/1990,2.38
21/11/1990,2.61
23/11/1990,2.605
26/11/1990,2.618
27/11/1990,2.54
28/11/1990,2.505
29/11/1990,2.49
30/11/1990,2.445
3/12/1990,2.475
4/12/1990,2.44
5/12/1990,2.402
6/12/1990,2.351
7/12/1990,2.35
10/12/1990,2.355
11/12/1990,2.285
12/12/1990,2.204
13/12/1990,2.22
14/12/1990,2.262
17/12/1990,2.175
18/12/1990,2.046
19/12/1990,2.046
20/12/1990,1.92
21/12/1990,1.962
24/12/1990,1.962
26/12/1990,1.999
27/12/1990,1.96
28/12/1990,1.95
31/12/1990,1.95
2/1/1991,1.832
3/1/1991,1.782
4/1/1991,1.743
7/1/1991,1.785
8/1/1991,1.786
9/1/1991,1.728
10/1/1991,1.698
11/1/1991,1.695
14/1/1991,1.728
15/1/1991,1.72
16/1/1991,1.719
17/1/1991,1.621
