Week Ending,Total
1993-12-31,2322
1994-01-07,2186
1994-01-14,2019
1994-01-21,1782
1994-01-28,1662
1994-02-04,1470
1994-02-11,1303
1994-02-18,1203
1994-02-25,1149
1994-03-04,1015
1994-03-11,1004
1994-03-18,952
1994-03-25,965
1994-04-01,953
1994-04-08,969
1994-04-15,1005
1994-04-22,1085
1994-04-29,1161
1994-05-06,1237
1994-05-13,1325
1994-05-20,1403
1994-05-27,1494
1994-06-03,1601
1994-06-10,1682
1994-06-17,1754
1994-06-24,1821
1994-07-01,1911
1994-07-08,1999
1994-07-15,2096
1994-07-22,2179
1994-07-29,2248
1994-08-05,2335
1994-08-12,2396
1994-08-19,2485
1994-08-26,2557
1994-09-02,2632
1994-09-09,2716
1994-09-16,2791
1994-09-23,2854
1994-09-30,2912
1994-10-07,2962
1994-10-14,2992
1994-10-21,3061
1994-10-28,3071
1994-11-04,3080
1994-11-11,3096
1994-11-18,3086
1994-11-25,3034
1994-12-02,2957
1994-12-09,2914
1994-12-16,2765
1994-12-23,2696
1994-12-30,2632
1995-01-06,2450
1995-01-13,2339
1995-01-20,2283
1995-01-27,2124
1995-02-03,1998
1995-02-10,1824
1995-02-17,1628
1995-02-24,1604
1995-03-03,1488
1995-03-10,1347
1995-03-17,1333
1995-03-24,1362
1995-03-31,1332
1995-04-07,1293
1995-04-14,1288
1995-04-21,1325
1995-04-28,1362
1995-05-05,1405
1995-05-12,1416
1995-05-19,1526
1995-05-26,1605
1995-06-02,1698
1995-06-09,1774
1995-06-16,1863
1995-06-23,1950
1995-06-30,2014
1995-07-07,2125
1995-07-14,2189
1995-07-21,2239
1995-07-28,2289
1995-08-04,2320
1995-08-11,2371
1995-08-18,2403
1995-08-25,2456
1995-09-01,2503
1995-09-08,2582
1995-09-15,2655
1995-09-22,2727
1995-09-29,2795
1995-10-06,2836
1995-10-13,2905
1995-10-20,2955
1995-10-27,2987
1995-11-03,3000
1995-11-10,2918
1995-11-17,2846
1995-11-24,2788
1995-12-01,2719
1995-12-08,2652
1995-12-15,2477
1995-12-22,2349
1995-12-29,2192
1996-01-05,2063
1996-01-12,1872
1996-01-19,1775
1996-01-26,1618
1996-02-02,1409
1996-02-09,1191
1996-02-16,1112
1996-02-23,1061
1996-03-01,1017
1996-03-08,909
1996-03-15,844
1996-03-22,810
1996-03-29,757
1996-04-05,733
1996-04-12,697
1996-04-19,729
1996-04-26,819
1996-05-03,879
1996-05-10,945
1996-05-17,1000
1996-05-24,1081
1996-05-31,1161
1996-06-07,1251
1996-06-14,1338
1996-06-21,1423
1996-06-28,1507
1996-07-05,1593
1996-07-12,1684
1996-07-19,1770
1996-07-26,1844
1996-08-02,1921
1996-08-09,1996
1996-08-16,2083
1996-08-23,2146
1996-08-30,2232
1996-09-06,2326
1996-09-13,2406
1996-09-20,2490
1996-09-27,2568
1996-10-04,2659
1996-10-11,2697
1996-10-18,2755
1996-10-25,2788
1996-11-01,2816
1996-11-08,2802
1996-11-15,2721
1996-11-22,2659
1996-11-29,2559
1996-12-06,2490
1996-12-13,2439
1996-12-20,2310
1996-12-27,2180
1997-01-03,2176
1997-01-10,2065
1997-01-17,1805
1997-01-24,1658
1997-01-31,1496
1997-02-07,1428
1997-02-14,1277
1997-02-21,1214
1997-02-28,1139
1997-03-07,1086
1997-03-14,1039
1997-03-21,977
1997-03-28,977
1997-04-04,1004
1997-04-11,982
1997-04-18,977
1997-04-25,1008
1997-05-02,1063
1997-05-09,1133
1997-05-16,1191
1997-05-23,1263
1997-05-30,1353
1997-06-06,1443
1997-06-13,1535
1997-06-20,1627
1997-06-27,1694
1997-07-04,1785
1997-07-11,1869
1997-07-18,1921
1997-07-25,1976
1997-08-01,2024
1997-08-08,2102
1997-08-15,2169
1997-08-22,2232
1997-08-29,2312
1997-09-05,2402
1997-09-12,2484
1997-09-19,2549
1997-09-26,2628
1997-10-03,2711
1997-10-10,2792
1997-10-17,2858
1997-10-24,2889
1997-10-31,2886
1997-11-07,2903
1997-11-14,2847
1997-11-21,2746
1997-11-28,2717
1997-12-05,2649
1997-12-12,2509
1997-12-19,2371
1997-12-26,2271
1998-01-02,2140
1998-01-09,2111
1998-01-16,1957
1998-01-23,1823
1998-01-30,1724
1998-02-06,1643
1998-02-13,1554
1998-02-20,1477
1998-02-27,1434
1998-03-06,1388
1998-03-13,1239
1998-03-20,1156
1998-03-27,1138
1998-04-03,1206
1998-04-10,1218
1998-04-17,1269
1998-04-24,1326
1998-05-01,1396
1998-05-08,1490
1998-05-15,1575
1998-05-22,1658
1998-05-29,1753
1998-06-05,1832
1998-06-12,1932
1998-06-19,2010
1998-06-26,2075
1998-07-03,2143
1998-07-10,2231
1998-07-17,2306
1998-07-24,2366
1998-07-31,2428
1998-08-07,2499
1998-08-14,2568
1998-08-21,2634
1998-08-28,2685
1998-09-04,2721
1998-09-11,2795
1998-09-18,2850
1998-09-25,2896
1998-10-02,2943
1998-10-09,2999
1998-10-16,3072
1998-10-23,3121
1998-10-30,3185
1998-11-06,3213
1998-11-13,3163
1998-11-20,3144
1998-11-27,3145
1998-12-04,3172
1998-12-11,3125
1998-12-18,3038
1998-12-25,2870
1999-01-01,2707
1999-01-08,2472
1999-01-15,2265
1999-01-22,2173
1999-01-29,2099
1999-02-05,2017
1999-02-12,1976
1999-02-19,1888
1999-02-26,1763
1999-03-05,1689
1999-03-12,1542
1999-03-19,1446
1999-03-26,1403
1999-04-02,1407
1999-04-09,1447
1999-04-16,1452
1999-04-23,1457
1999-04-30,1495
1999-05-07,1571
1999-05-14,1651
1999-05-21,1726
1999-05-28,1796
1999-06-04,1885
1999-06-11,1941
1999-06-18,2020
1999-06-25,2106
1999-07-02,2169
1999-07-09,2228
1999-07-16,2308
1999-07-23,2348
1999-07-30,2373
1999-08-06,2414
1999-08-13,2461
1999-08-20,2508
1999-08-27,2575
1999-09-03,2638
1999-09-10,2718
1999-09-17,2794
1999-09-24,2871
1999-10-01,2933
1999-10-08,2989
1999-10-15,3038
1999-10-22,3058
1999-10-29,3068
1999-11-05,3088
1999-11-12,3105
1999-11-19,3090
1999-11-26,3103
1999-12-03,3035
1999-12-10,2962
1999-12-17,2843
1999-12-24,2663
1999-12-31,2523
2000-01-07,2418
2000-01-14,2310
2000-01-21,2109
2000-01-28,1856
2000-02-04,1647
2000-02-11,1504
2000-02-18,1377
2000-02-25,1318
2000-03-03,1288
2000-03-10,1259
2000-03-17,1192
2000-03-24,1156
2000-03-31,1153
2000-04-07,1156
2000-04-14,1123
2000-04-21,1144
2000-04-28,1182
2000-05-05,1242
2000-05-12,1283
2000-05-19,1333
2000-05-26,1382
2000-06-02,1455
2000-06-09,1532
2000-06-16,1591
2000-06-23,1657
2000-06-30,1717
2000-07-07,1812
2000-07-14,1875
2000-07-21,1921
2000-07-28,1978
2000-08-04,2036
2000-08-11,2080
2000-08-18,2127
2000-08-25,2171
2000-09-01,2205
2000-09-08,2274
2000-09-15,2338
2000-09-22,2412
2000-09-29,2486
2000-10-06,2547
2000-10-13,2574
2000-10-20,2644
2000-10-27,2713
2000-11-03,2748
2000-11-10,2744
2000-11-17,2654
2000-11-24,2506
2000-12-01,2434
2000-12-08,2287
2000-12-15,2140
2000-12-22,1973
2000-12-29,1765
2001-01-05,1611
2001-01-12,1525
2001-01-19,1452
2001-01-26,1333
2001-02-02,1238
2001-02-09,1151
2001-02-16,1075
2001-02-23,966
2001-03-02,894
2001-03-09,817
2001-03-16,799
2001-03-23,796
2001-03-30,738
2001-04-06,741
2001-04-13,810
2001-04-20,844
2001-04-27,947
2001-05-04,1054
2001-05-11,1157
2001-05-18,1267
2001-05-25,1354
2001-06-01,1457
2001-06-08,1560
2001-06-15,1664
2001-06-22,1768
2001-06-29,1867
2001-07-06,1974
2001-07-13,2075
2001-07-20,2152
2001-07-27,2220
2001-08-03,2295
2001-08-10,2341
2001-08-17,2426
2001-08-24,2500
2001-08-31,2576
2001-09-07,2673
2001-09-14,2764
2001-09-21,2857
2001-09-28,2925
2001-10-05,2998
2001-10-12,3068
2001-10-19,3100
2001-10-26,3132
2001-11-02,3152
2001-11-09,3187
2001-11-16,3220
2001-11-23,3250
2001-11-30,3254
2001-12-07,3238
2001-12-14,3195
2001-12-21,3115
2001-12-28,2989
2002-01-04,2790
2002-01-11,2648
2002-01-18,2522
2002-01-25,2410
2002-02-01,2332
2002-02-08,2160
2002-02-15,2036
2002-02-22,1962
2002-03-01,1819
2002-03-08,1728
2002-03-15,1636
2002-03-22,1561
2002-03-29,1500
2002-04-05,1491
2002-04-12,1506
2002-04-19,1575
2002-04-26,1606
2002-05-03,1645
2002-05-10,1707
2002-05-17,1775
2002-05-24,1847
2002-05-31,1954
2002-06-07,2042
2002-06-14,2123
2002-06-21,2218
2002-06-28,2286
2002-07-05,2353
2002-07-12,2422
2002-07-19,2486
2002-07-26,2534
2002-08-02,2567
2002-08-09,2620
2002-08-16,2657
2002-08-23,2716
2002-08-30,2781
2002-09-06,2855
2002-09-13,2924
2002-09-20,2990
2002-09-27,3038
2002-10-04,3080
2002-10-11,3128
2002-10-18,3161
2002-10-25,3172
2002-11-01,3145
2002-11-08,3097
2002-11-15,3096
2002-11-22,3047
2002-11-29,2956
2002-12-06,2794
2002-12-13,2635
2002-12-20,2540
2002-12-27,2417
2003-01-03,2331
2003-01-10,2195
2003-01-17,1976
2003-01-24,1729
2003-01-31,1521
2003-02-07,1371
2003-02-14,1168
2003-02-21,1014
2003-02-28,838
2003-03-07,736
2003-03-14,654
2003-03-21,660
2003-03-28,696
2003-04-04,688
2003-04-11,642
2003-04-18,702
2003-04-25,754
2003-05-02,836
2003-05-09,900
2003-05-16,990
2003-05-23,1085
2003-05-30,1199
2003-06-06,1324
2003-06-13,1438
2003-06-20,1565
2003-06-27,1662
2003-07-04,1809
2003-07-11,1904
2003-07-18,1981
2003-07-25,2062
2003-08-01,2138
2003-08-08,2222
2003-08-15,2299
2003-08-22,2352
2003-08-29,2419
2003-09-05,2518
2003-09-12,2619
2003-09-19,2719
