Date,Texas,California,Pennsylvannia,Louisiana,Florida
1991-01-01,43.4,43.6,26.6,47.7,62
1991-02-01,52.5,51.5,32.4,54.2,61.6
1991-03-01,59.3,44.8,39.4,60.7,66.2
1991-04-01,67.1,52.7,50,69.2,73.3
1991-05-01,74.6,57.9,64.4,75.5,78.2
1991-06-01,79.4,66.2,68.4,80,79.9
1991-07-01,80.9,75.4,72,82,81.7
1991-08-01,80.3,73.2,70.7,80.6,81.7
1991-09-01,72.4,72.2,60.9,75.8,79.7
1991-10-01,67.1,64.5,51.9,69,72.6
1991-11-01,50.9,51.6,39.3,53.5,62.4
1991-12-01,49.2,44,32.7,54.8,62.1
1992-01-01,45.4,43.2,28.2,48.2,56.4
1992-02-01,53,49.1,30.9,55.8,61.6
1992-03-01,58.9,50.8,34.4,60.1,63.9
1992-04-01,64.5,58.9,46.8,65.1,67.9
1992-05-01,69.6,67,55.8,71.5,72.7
1992-06-01,77.9,69,63.1,78.7,79.9
1992-07-01,81.4,73.8,69.1,81.8,82.6
1992-08-01,78.2,76.2,65.4,78.2,80.6
1992-09-01,76,70.8,60.6,76.4,79.4
1992-10-01,67.4,62.6,47,66.9,70.7
1992-11-01,51.8,49.5,40.2,54.3,67
1992-12-01,48.6,40.3,30.3,52.9,60.6
1993-01-01,45.5,41.3,30.4,50.8,63.5
1993-02-01,49.3,44,23.5,51.8,58.1
1993-03-01,56,52.9,32.8,56.2,62.4
1993-04-01,63,55.2,47.4,61.9,65.9
1993-05-01,70.6,62.3,58.7,71.1,73.8
1993-06-01,79,68,65.8,79.8,80.4
1993-07-01,83.1,72.2,72.3,82.8,82.5
1993-08-01,82.9,73.2,70.2,83.6,82.2
1993-09-01,75,69.5,60.6,77.9,79.9
1993-10-01,64.4,61.4,48.5,66.5,73.2
1993-11-01,51,48.8,39.8,54.4,65.5
1993-12-01,49.2,43.1,28.8,50.5,56.2
1994-01-01,46.6,45.7,17.8,47,56.8
1994-02-01,49.1,43.7,24.1,53,63.8
1994-03-01,58.4,52.9,33.8,59.1,66
1994-04-01,65,55.9,50.5,67.3,72.1
1994-05-01,71.5,61.3,53.9,72,75.7
1994-06-01,82.1,70.9,68.8,80.3,80.5
1994-07-01,82.9,76.5,72.1,80.6,80.6
1994-08-01,81.5,75.8,66.4,79.9,80.2
1994-09-01,74.4,69.8,60.3,75.4,78.2
1994-10-01,66.8,58.6,49.3,67.7,73.4
1994-11-01,58,42.9,44.4,62.1,69.5
1994-12-01,50.6,42.1,34.6,53.1,61.8
1995-01-01,48,44.7,29.8,50.4,56.6
1995-02-01,53.2,51.3,23.9,53.5,58.9
1995-03-01,56.5,48.9,39.7,60.6,66.5
1995-04-01,63.8,52.9,45,66.2,70.4
1995-05-01,72.4,58.4,56.4,75,78.3
1995-06-01,77.4,66.1,67.6,78.4,79.2
1995-07-01,82.7,74.2,72.1,82.5,82.2
1995-08-01,82.2,75,72.4,83.8,82.4
1995-09-01,75.4,71.2,60.4,77.3,79.9
1995-10-01,66.3,62.2,53.8,67,75
1995-11-01,55.9,55.9,35.4,56.1,62.8
1995-12-01,48.8,46.4,25.1,50.5,57.3
1996-01-01,45.9,45.6,23.6,49,56.6
1996-02-01,52.9,48.8,27,52.9,58.7
1996-03-01,53.1,51.5,31.8,54.4,60.6
1996-04-01,64.5,56.8,47.1,64.2,67.8
1996-05-01,78.5,62.5,55.6,76.6,77
1996-06-01,81.1,70.4,67.9,79,79.2
1996-07-01,83.6,78.1,68.1,82.1,82.2
1996-08-01,80.3,76.7,68.7,80.1,80.6
1996-09-01,73.9,68.4,61.9,75.7,79.1
1996-10-01,65.8,59.2,50.5,67,72
1996-11-01,55.9,51.1,35.2,58.8,64.9
1996-12-01,49.8,45.6,34,54.1,60
1997-01-01,44.9,44.5,25.1,49.2,59.4
1997-02-01,49,46.6,33,53.7,64.1
1997-03-01,59.4,54,37.6,63.6,70.5
1997-04-01,59.7,55.6,44.6,62,68.3
1997-05-01,70.5,67.6,52.7,72.2,74.8
1997-06-01,77.6,68.4,65.9,78.5,78.7
1997-07-01,82.7,74,69.5,82.9,81.9
1997-08-01,81.8,74.9,66.8,81.2,81.5
1997-09-01,78,70.8,60.4,78.3,79.8
1997-10-01,66,59,50.5,67.1,72.2
1997-11-01,52.5,51.6,37.4,54.8,63.6
1997-12-01,45,42.4,32.1,49,58.9
1998-01-01,50.6,45.1,34.3,53.3,60.5
