Date,natgas_future_price
13/1/94,2.194
14/1/94,2.268
17/1/94,2.36
18/1/94,2.318
19/1/94,2.252
20/1/94,2.25
21/1/94,2.305
24/1/94,2.47
25/1/94,2.246
26/1/94,2.359
27/1/94,2.417
28/1/94,2.528
31/1/94,2.554
1/2/94,2.639
2/2/94,2.585
3/2/94,2.383
4/2/94,2.369
7/2/94,2.347
8/2/94,2.411
9/2/94,2.358
10/2/94,2.374
11/2/94,2.356
14/2/94,2.252
15/2/94,2.253
16/2/94,2.345
17/2/94,2.385
18/2/94,2.418
22/2/94,2.296
23/2/94,2.232
24/2/94,2.248
25/2/94,2.292
28/2/94,2.208
1/3/94,2.18
2/3/94,2.171
3/3/94,2.146
4/3/94,2.188
7/3/94,2.167
8/3/94,2.196
9/3/94,2.156
10/3/94,2.116
11/3/94,2.096
14/3/94,2.05
15/3/94,2.104
16/3/94,2.163
17/3/94,2.124
18/3/94,2.103
21/3/94,2.055
22/3/94,2.107
23/3/94,2.077
24/3/94,1.981
25/3/94,2.072
28/3/94,2.066
29/3/94,2.062
30/3/94,2.058
31/3/94,2.075
4/4/94,2.144
5/4/94,2.069
6/4/94,2.097
7/4/94,2.085
8/4/94,2.066
11/4/94,2.068
12/4/94,2.089
13/4/94,2.131
14/4/94,2.163
15/4/94,2.187
18/4/94,2.156
19/4/94,2.129
20/4/94,2.139
21/4/94,2.132
22/4/94,2.076
25/4/94,2.152
26/4/94,2.103
28/4/94,2.067
29/4/94,2.067
2/5/94,2.009
3/5/94,2.002
4/5/94,2.034
5/5/94,2.044
6/5/94,2.037
9/5/94,1.986
10/5/94,1.99
11/5/94,1.95
12/5/94,1.947
13/5/94,1.923
16/5/94,1.913
17/5/94,1.949
18/5/94,1.943
19/5/94,1.957
20/5/94,1.904
23/5/94,1.851
24/5/94,1.884
25/5/94,1.836
26/5/94,1.862
27/5/94,1.842
31/5/94,1.917
1/6/94,1.89
2/6/94,1.982
3/6/94,1.965
6/6/94,1.97
7/6/94,2.022
8/6/94,2.087
9/6/94,2.047
10/6/94,2.134
13/6/94,2.121
14/6/94,2.13
15/6/94,2.172
16/6/94,2.134
17/6/94,2.085
20/6/94,2.126
21/6/94,2.078
22/6/94,2.024
23/6/94,1.966
24/6/94,2.134
27/6/94,2.136
28/6/94,2.2
29/6/94,2.18
30/6/94,2.184
1/7/94,2.216
5/7/94,2.131
6/7/94,2.122
7/7/94,2.072
8/7/94,2.023
11/7/94,2.026
12/7/94,2.005
13/7/94,2
14/7/94,1.977
15/7/94,1.948
18/7/94,1.945
19/7/94,1.959
20/7/94,1.901
21/7/94,1.84
22/7/94,1.789
25/7/94,1.845
26/7/94,1.868
27/7/94,1.843
28/7/94,1.861
29/7/94,1.893
1/8/94,1.878
2/8/94,1.816
3/8/94,1.742
4/8/94,1.761
5/8/94,1.719
8/8/94,1.671
9/8/94,1.703
10/8/94,1.766
11/8/94,1.686
12/8/94,1.72
15/8/94,1.753
16/8/94,1.79
17/8/94,1.837
18/8/94,1.731
19/8/94,1.674
22/8/94,1.612
23/8/94,1.532
24/8/94,1.484
25/8/94,1.62
26/8/94,1.617
29/8/94,1.661
30/8/94,1.601
31/8/94,1.586
1/9/94,1.596
2/9/94,1.56
6/9/94,1.596
7/9/94,1.631
8/9/94,1.659
9/9/94,1.638
12/9/94,1.688
13/9/94,1.675
14/9/94,1.684
15/9/94,1.631
16/9/94,1.628
19/9/94,1.633
20/9/94,1.556
21/9/94,1.493
22/9/94,1.445
23/9/94,1.406
26/9/94,1.716
27/9/94,1.715
28/9/94,1.702
29/9/94,1.707
30/9/94,1.657
3/10/94,1.683
4/10/94,1.692
5/10/94,1.664
6/10/94,1.647
7/10/94,1.624
10/10/94,1.658
11/10/94,1.664
12/10/94,1.642
13/10/94,1.61
14/10/94,1.632
17/10/94,1.653
18/10/94,1.635
19/10/94,1.585
20/10/94,1.557
21/10/94,1.597
24/10/94,1.683
25/10/94,1.947
26/10/94,2.031
27/10/94,2.008
28/10/94,1.992
31/10/94,1.95
1/11/94,1.936
2/11/94,1.869
3/11/94,1.861
4/11/94,1.856
7/11/94,1.759
8/11/94,1.754
9/11/94,1.775
10/11/94,1.741
